S.No.,Time (Hr:min),Time (sec) ,Flux,Pressure (mb),Temperature (oC)
137,16:30,491400,10516.22222,1022.26,22.2
138,17:30,495000,10585.11111,1022.26,22.2
139,18:30,498600,10488.88889,1022.074,21.2
140,19:30,502200,10536.22222,1022.074,21.2
141,20:30,505800,10407.77778,1022.074,21.7
142,21:30,509400,9874.222222,1022.074,21.7
143,22:30,513000,10549.77778,1022.074,21.5
144,23:30,516600,10458.44444,1022.074,21.5
145,00:30,520200,10399.33333,1022.319,21.8
146,01:30,523800,10467.55556,1022.319,21.8
147,02:30,527400,10477.55556,1022.319,21.6
148,03:30,531000,10408.22222,1022.319,21.6
149,04:30,534600,10416,1022.319,21.2
150,05:30,538200,10506.88889,1022.319,21.2
151,06:30,541800,10419.11111,1022.151,19.7
152,07:30,545400,10422.22222,1022.151,19.7
153,08:30,549000,10326.66667,1022.151,20.5
154,09:30,552600,10415.33333,1022.151,20.5
155,10:30,556200,10490.88889,1022.151,20.4
156,11:30,559800,10414.22222,1022.151,20.4
157,12:30,563400,10540.66667,1022.781,20.8
158,13:30,567000,10475.11111,1022.781,20.8
159,14:30,570600,10441.77778,1022.781,22.3
160,15:30,574200,10468.66667,1022.781,22.3
161,16:30,577800,10396.44444,1022.781,22.3
162,17:30,581400,10394.22222,1022.781,22.3
163,18:30,585000,10419.33333,1022,21.5
164,19:30,588600,10522.44444,1022,21.5
165,20:30,592200,10498,1022,22.4
166,21:30,595800,10549.33333,1022,22.4
167,22:30,599400,10545.77778,1022,22
